symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GME,2017-01-06 00:00:00+00:00,24.52,25.17,24.5,25.15,2334362,19.9425140593,20.4711696114,19.9262477346,20.4549032868,2334362,0.0,1.0
GME,2017-01-09 00:00:00+00:00,24.49,24.66,24.33,24.6,1646678,19.9181145723,20.0563783321,19.7879839748,20.007579358,1646678,0.0,1.0
GME,2017-01-10 00:00:00+00:00,24.64,25.095,24.44,24.52,2243117,20.0401120074,20.4101708939,19.8774487606,19.9425140593,2243117,0.0,1.0
GME,2017-01-11 00:00:00+00:00,24.61,25.13,24.5,24.74,2543408,20.0157125204,20.4386369621,19.9262477346,20.1214436308,2543408,0.0,1.0
GME,2017-01-12 00:00:00+00:00,24.72,24.94,24.58,24.61,2643151,20.1051773061,20.2841068776,19.9913130333,20.0157125204,2643151,0.0,1.0
GME,2017-01-13 00:00:00+00:00,22.73,23.19,22.271,22.29,14823456,18.4866780003,18.860803468,18.1133658489,18.1288188573,14823456,0.0,1.0
GME,2017-01-17 00:00:00+00:00,23.34,23.75,22.68,22.74,4983382,18.9828009031,19.3162605591,18.4460121886,18.4948111627,4983382,0.0,1.0
GME,2017-01-18 00:00:00+00:00,23.49,23.615,22.9,23.3,2181603,19.1047983382,19.2064628675,18.6249417601,18.9502682537,2181603,0.0,1.0
GME,2017-01-19 00:00:00+00:00,23.31,23.69,23.18,23.53,2002403,18.9584014161,19.267461585,18.8526703056,19.1373309876,2002403,0.0,1.0
GME,2017-01-20 00:00:00+00:00,23.58,23.6325,23.33,23.46,2566114,19.1779967993,19.2206959016,18.9746677408,19.0803988512,2566114,0.0,1.0
GME,2017-01-23 00:00:00+00:00,23.93,24.0,23.45,23.67,2186086,19.4626574812,19.5195896176,19.0722656888,19.2511952603,2186086,0.0,1.0
GME,2017-01-24 00:00:00+00:00,23.87,24.15,23.72,23.94,2850596,19.4138585072,19.6415870527,19.291861072,19.4707906435,2850596,0.0,1.0
